215301783 function calls in 207.267 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  207.267  207.267 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:479(debond_dishing_bounds_calculator)
        1    0.441    0.441  207.252  207.252 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:450(build_effcrit_and_dishing_arrays)
    66880    7.099    0.000  182.898    0.003 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:289(_bisect_mono)
    49588    0.350    0.000  127.860    0.003 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:334(invert_dishing_cu_given_sigma_eff)
  2889700    2.298    0.000  122.202    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:338(f_clip)
  2889700    7.774    0.000  119.067    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:285(_cu_stress_at)
  6442612   39.066    0.000  114.830    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:199(compute_sigma_peel_MPa)
  2889700   22.738    0.000  107.990    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:226(compute_cu_peel_cool_MPa)
    49588    0.199    0.000   78.946    0.002 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:324(invert_dishing_sio2_given_sigma_eff)
  3503324    8.290    0.000   73.950    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:281(_sio2_stress_at)
 56311112   23.147    0.000   23.147    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:150(_units)
    99176    1.022    0.000   20.967    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:306(_expand_bracket)
  9216988   15.455    0.000   19.072    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:153(_geom_areas)
  6442612    8.913    0.000   15.148    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:170(_split_sigma)
  6442612    9.257    0.000   13.500    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:193(_phi_cu)
  9216988    8.681    0.000   12.305    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:164(_thermal_mismatch_sigma)
  9216988    7.290    0.000   11.248    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:177(_k_n_bar)
  2774376    3.743    0.000   10.998    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:159(_fill_fraction)
  6442612    7.354    0.000   10.123    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:187(_delta_eq_two_pads)
  2889700    5.056    0.000    7.573    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:221(_sigma_y_cool_MPa)
 30177423    7.545    0.000    7.545    0.000 {built-in method builtins.max}
 20644341    6.048    0.000    6.048    0.000 {built-in method builtins.min}
  6442612    4.713    0.000    4.713    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:181(_tcu_of_T_exp)
  6393024    2.994    0.000    2.994    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:275(__init__)
  2774376    1.873    0.000    2.524    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:184(_apply_dish_gain_to_tcu_linear)
  6393024    2.344    0.000    2.344    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:276(__enter__)
  6393024    1.781    0.000    1.781    0.000 c:\Users\zhich\OneDrive\Yield_Code\GitHubVersion\YAP_ESD_Stress\YAP\D2W\debond.py:278(__exit__)
  2889700    0.907    0.000    0.907    0.000 {built-in method math.exp}
  5350400    0.866    0.000    0.866    0.000 {built-in method builtins.abs}
