distance phi
85.19 0.968141
125.19 0.942777
165.19 0.921918
205.19 0.915706
245.19 0.886691
285.19 0.863948
325.19 0.868182
365.19 0.812075
405.19 0.804923
445.19 0.799996
485.19 0.745266
525.19 0.736730
565.19 0.742107
605.19 0.699838
645.19 0.689079
685.19 0.657038
725.19 0.636672
765.19 0.619484
805.19 0.590042
845.19 0.596821
885.19 0.559421
925.19 0.558874
965.19 0.495974
1005.19 0.516889
1045.19 0.501277
1085.19 0.458194
1125.19 0.433597
1165.19 0.461756
1205.19 0.416929
1245.19 0.357649
1285.19 0.399201
1325.19 0.387760
1365.19 0.332378
1405.19 0.311197
1445.19 0.350685
1485.19 0.315626
1525.19 0.263272
1565.19 0.267431
1605.19 0.255919
1645.19 0.278441
1685.19 0.205836
1725.19 0.226529
1765.19 0.218111
1805.19 0.223455
1845.19 0.154668
1885.19 0.193615
1925.19 0.201620
1965.19 0.171666
2005.19 0.131385
2045.19 0.176966
2085.19 0.124547
2125.19 0.091661
2165.19 0.150937
2205.19 0.109197
2245.19 0.105102
2285.19 0.080992
2325.19 0.098712
2365.19 0.075971
2405.19 0.079057
2445.19 0.050013
2485.19 0.070742
2525.19 0.056616
2565.19 0.028002
2605.19 0.057554
2645.19 0.037548
2685.19 0.037258
2725.19 -0.006218
2765.19 0.034765
2805.19 0.030673
2845.19 0.002817
2885.19 -0.015631
2925.19 0.016931
2965.19 -0.002730
3005.19 -0.045149
3045.19 0.005479
3085.19 -0.020894
3125.19 -0.013830
3165.19 -0.045941
3205.19 -0.031707
3245.19 -0.024496
3285.19 -0.029848
3325.19 -0.062097
3365.19 -0.031593
3405.19 -0.021360
3445.19 -0.074148
3485.19 -0.053660
3525.19 -0.034240
3565.19 -0.043656
3605.19 -0.081766
3645.19 -0.037898
3685.19 -0.041342
3725.19 -0.064611
3765.19 -0.076776
3805.19 -0.046225
3845.19 -0.061826
3885.19 -0.063003
3925.19 -0.056660
3965.19 -0.053268
4005.19 -0.055337
4045.19 -0.072064
4085.19 -0.055989
4125.19 -0.051408
4165.19 -0.057392
4205.19 -0.067033
4245.19 -0.047716
4285.19 -0.039487
4325.19 -0.093529
4365.19 -0.058293
4405.19 -0.043957
4445.19 -0.070281
4485.19 -0.094341
4525.19 -0.039933
4565.19 -0.068988
4605.19 -0.080527
4645.19 -0.095846
4685.19 -0.066341
4725.19 -0.073197
4765.19 -0.102705
4805.19 -0.090954
4845.19 -0.058432
4885.19 -0.087314
4925.19 -0.119309
4965.19 -0.087632
5020.00 -0.080168
5060.00 -0.080690
5100.00 -0.103912
5140.00 -0.112636
5180.00 -0.080181
5220.00 -0.085264
5260.00 -0.134462
5300.00 -0.086744
5340.00 -0.086504
5380.00 -0.100950
5420.00 -0.131094
5460.00 -0.083070
5500.00 -0.102652
5540.00 -0.118815
5580.00 -0.107681
5620.00 -0.110222
5660.00 -0.098278
5700.00 -0.152496
5740.00 -0.096153
5780.00 -0.099148
5820.00 -0.115576
5860.00 -0.140905
5900.00 -0.097811
5940.00 -0.107813
5980.00 -0.124347
6020.00 -0.135436
6060.00 -0.091761
6100.00 -0.113184
6140.00 -0.162271
6180.00 -0.100310
6220.00 -0.113958
6260.00 -0.120878
6300.00 -0.155038
6340.00 -0.115702
6380.00 -0.116374
6420.00 -0.139547
6460.00 -0.155105
6500.00 -0.143909
6540.00 -0.132133
6580.00 -0.174300
6620.00 -0.142449
6660.00 -0.152520
6700.00 -0.147330
6740.00 -0.204284
6780.00 -0.154012
6820.00 -0.171706
6860.00 -0.184310
6900.00 -0.186765
6940.00 -0.167254
6980.00 -0.180969
7020.00 -0.239114
7060.00 -0.160737
7100.00 -0.180732
7140.00 -0.213027
7180.00 -0.226434
7220.00 -0.183544
7260.00 -0.202713
7300.00 -0.217777
7340.00 -0.235747
7380.00 -0.191914
7420.00 -0.206176
7460.00 -0.260748
7500.00 -0.212584
7540.00 -0.197958
7580.00 -0.222551
7620.00 -0.257444
7660.00 -0.225140
7700.00 -0.209656
7740.00 -0.239481
7780.00 -0.251750
7820.00 -0.227013
7860.00 -0.232491
7900.00 -0.258428
7940.00 -0.222760
7980.00 -0.247868
8020.00 -0.255591
8060.00 -0.250903
8100.00 -0.257883
8140.00 -0.249818
8180.00 -0.260109
8220.00 -0.282223
8260.00 -0.267716
8300.00 -0.274348
8340.00 -0.319444
8380.00 -0.293583
8420.00 -0.267640
8460.00 -0.315533
8500.00 -0.317328
8540.00 -0.301484
8580.00 -0.340854
8620.00 -0.346410
8660.00 -0.331836
8700.00 -0.344340
8740.00 -0.363985
8780.00 -0.347508
8820.00 -0.388001
8860.00 -0.397885
8900.00 -0.395123
8940.00 -0.409283
8980.00 -0.395011
9020.00 -0.421979
9060.00 -0.414057
9100.00 -0.434894
9140.00 -0.437670
9180.00 -0.445260
9220.00 -0.455582
9260.00 -0.441164
9300.00 -0.458220
9340.00 -0.474900
9380.00 -0.484296
9420.00 -0.478277
9460.00 -0.501265
9500.00 -0.509676
9540.00 -0.485138
9580.00 -0.523619
9620.00 -0.522444
9660.00 -0.532046
9700.00 -0.554897
9740.00 -0.550058
9780.00 -0.533440
9820.00 -0.543591
9860.00 -0.558734
9900.00 -0.537534
9940.00 -0.571711
9980.00 -0.573852
10020.00 -0.543367
10060.00 -0.552027
10100.00 -0.525458
10140.00 -0.508695
10180.00 -0.525248
10220.00 -0.505738
10260.00 -0.474854
10300.00 -0.456162
10340.00 -0.455691
10380.00 -0.388076
10420.00 -0.381146
10460.00 -0.384567
10500.00 -0.362099
10540.00 -0.322621
10580.00 -0.337687
10620.00 -0.310099
10660.00 -0.295850
10700.00 -0.293217
10740.00 -0.276029
10780.00 -0.269476
10820.00 -0.278021
10860.00 -0.248014
10900.00 -0.232359
10940.00 -0.234028
10980.00 -0.219008
11020.00 -0.192543
11060.00 -0.195209
11100.00 -0.177005
11140.00 -0.158881
11180.00 -0.156467
11220.00 -0.140599
11260.00 -0.123383
11300.00 -0.120985
11340.00 -0.105982
11380.00 -0.091862
11420.00 -0.086352
11460.00 -0.075816
11500.00 -0.063347
11540.00 -0.057460
11580.00 -0.049159
11620.00 -0.041099
11660.00 -0.035059
11700.00 -0.027942
11740.00 -0.021734
11780.00 -0.019113
11820.00 -0.012577
11860.00 -0.009403
11900.00 -0.007297
11940.00 -0.003504
11980.00 -0.001954
12020.00 -0.001252
12060.00 -0.000175
12100.00 0.000000
12140.00 0.000000
12180.00 0.000000
12220.00 0.000000
12260.00 0.000000
12300.00 0.000000
12340.00 0.000000
12380.00 0.000000
12420.00 0.000000
12460.00 0.000000
12500.00 0.000000
12540.00 0.000000
12580.00 0.000000
12620.00 0.000000
12660.00 0.000000
12700.00 0.000000
12740.00 0.000000
12780.00 0.000000
12820.00 0.000000
12860.00 0.000000
12900.00 0.000000
12940.00 0.000000
12980.00 0.000000
13020.00 0.000000
13060.00 0.000000
13100.00 0.000000
13140.00 0.000000
13180.00 0.000000
13220.00 0.000000
13260.00 0.000000
13300.00 0.000000
13340.00 0.000000
13380.00 0.000000
13420.00 0.000000
13460.00 0.000000
13500.00 0.000000
13540.00 0.000000
13580.00 0.000000
13620.00 0.000000
13660.00 0.000000
13700.00 0.000000
13740.00 0.000000
13780.00 0.000000
13820.00 0.000000
13860.00 0.000000
