distance phi
85.19 0.591886
125.19 0.249724
165.19 0.066423
205.19 0.029983
245.19 0.014840
285.19 0.010759
325.19 0.006781
365.19 0.006386
405.19 0.002060
445.19 0.000693
485.19 -0.001951
525.19 -0.002414
565.19 -0.001292
605.19 -0.001037
645.19 -0.001328
685.19 0.000238
725.19 -0.001519
765.19 -0.001917
805.19 -0.000819
845.19 -0.000220
885.19 0.002942
925.19 0.005075
965.19 0.008906
1005.19 0.008917
1045.19 0.009080
1085.19 0.007370
1125.19 0.004716
1165.19 0.002507
1205.19 0.002802
1245.19 0.001134
1285.19 0.002746
1325.19 0.003131
1365.19 0.001175
1405.19 -0.000264
1445.19 0.001178
1485.19 0.000405
1525.19 -0.001305
1565.19 0.000048
1605.19 -0.000300
1645.19 -0.001407
1685.19 -0.002213
1725.19 -0.000397
1765.19 0.001783
1805.19 0.000412
1845.19 0.002515
1885.19 0.002495
1925.19 0.002562
1965.19 0.001811
2005.19 0.001673
2045.19 0.000150
2085.19 -0.001159
2125.19 -0.001423
2165.19 -0.001789
2205.19 -0.001599
2245.19 -0.001854
2285.19 -0.002204
2325.19 -0.001486
2365.19 -0.001602
2405.19 -0.001199
2445.19 -0.001739
2485.19 -0.002340
2525.19 -0.002042
2565.19 -0.001192
2605.19 -0.000196
2645.19 0.000834
2685.19 0.001112
2725.19 0.001635
2765.19 0.002048
2805.19 0.001387
2845.19 0.002127
2885.19 0.000698
2925.19 0.002595
2965.19 0.001337
3005.19 0.001359
3045.19 0.000334
3085.19 0.002236
3125.19 0.002086
3165.19 0.003850
3205.19 0.001332
3245.19 0.000014
3285.19 0.000174
3325.19 0.000847
3365.19 0.002024
3405.19 0.001884
3445.19 0.002268
3485.19 0.003055
3525.19 0.003142
3565.19 0.000756
3605.19 -0.000020
3645.19 -0.001021
3685.19 -0.001379
3725.19 -0.001831
3765.19 -0.001993
3805.19 -0.002206
3845.19 -0.002359
3885.19 -0.002340
3925.19 -0.002445
3965.19 -0.002452
4005.19 -0.002432
4045.19 -0.002431
4085.19 -0.002424
4125.19 -0.002086
4165.19 -0.001807
4205.19 -0.001674
4245.19 -0.001307
4285.19 -0.001814
4325.19 -0.001058
4365.19 -0.000029
4405.19 0.000422
4445.19 0.001206
4485.19 0.001350
4525.19 -0.000462
4565.19 -0.000555
4605.19 -0.001117
4645.19 -0.001484
4685.19 -0.001992
4725.19 -0.001011
4765.19 -0.001490
4805.19 -0.001305
