distance phi
85.19 0.004728
125.19 -0.000581
165.19 0.000985
205.19 -0.002159
245.19 0.000227
285.19 -0.000444
325.19 -0.000499
365.19 -0.000866
405.19 0.001219
445.19 0.001484
485.19 -0.001009
525.19 0.000217
565.19 -0.001250
605.19 0.000126
645.19 0.000894
685.19 -0.001686
725.19 -0.000594
765.19 -0.001598
805.19 -0.001122
845.19 0.000007
885.19 -0.000839
925.19 0.001111
965.19 -0.001499
1005.19 -0.000538
1045.19 -0.001097
1085.19 0.000775
1125.19 -0.000424
1165.19 -0.001583
1205.19 0.000460
1245.19 0.001613
1285.19 -0.000656
1325.19 0.000524
1365.19 -0.001007
1405.19 -0.000060
1445.19 0.000724
1485.19 0.000112
1525.19 -0.000387
1565.19 0.000633
1605.19 -0.000913
1645.19 0.000245
1685.19 -0.000365
1725.19 -0.000956
1765.19 0.000041
1805.19 0.000323
1845.19 -0.000602
1885.19 0.000037
1925.19 0.000475
1965.19 -0.000004
2005.19 -0.000169
2045.19 0.000967
2085.19 -0.000073
2125.19 -0.001059
2165.19 -0.000330
2205.19 0.000010
2245.19 0.000584
2285.19 0.000207
2325.19 0.000340
2365.19 -0.000224
2405.19 0.000460
2445.19 0.000396
2485.19 0.000212
2525.19 -0.001220
2565.19 0.001565
2605.19 -0.000794
2645.19 0.000180
2685.19 -0.000621
2725.19 0.000291
2765.19 -0.000030
2805.19 -0.000685
2845.19 -0.000341
2885.19 -0.001360
2925.19 -0.000813
2965.19 -0.000208
3005.19 0.000062
3045.19 0.000179
3085.19 -0.000420
3125.19 -0.000171
3165.19 0.001154
3205.19 0.000638
3245.19 -0.000139
3285.19 -0.000440
3325.19 0.000398
3365.19 -0.000222
3405.19 0.000139
3445.19 -0.000391
3485.19 -0.000096
3525.19 -0.000014
3565.19 0.000571
3605.19 0.000136
3645.19 -0.000199
3685.19 -0.000040
3725.19 -0.000032
3765.19 -0.000701
3805.19 0.000015
3845.19 -0.000697
3885.19 0.000798
3925.19 -0.000377
3965.19 -0.000722
4005.19 0.000939
4045.19 -0.000086
4085.19 -0.000067
4125.19 0.000219
4165.19 0.000461
4205.19 -0.000155
4245.19 -0.000082
4285.19 0.000781
4325.19 0.000166
4365.19 -0.000423
4405.19 0.000029
4445.19 0.000811
4485.19 -0.000205
4525.19 0.000037
4565.19 -0.000795
4605.19 0.000794
4645.19 0.000311
4685.19 0.000453
4725.19 0.000834
4765.19 0.000809
4805.19 -0.000034
4845.19 0.000585
4885.19 -0.000059
4925.19 -0.000371
4965.19 0.000522
5020.00 0.000945
5060.00 -0.000499
5100.00 -0.000254
5140.00 -0.000866
5180.00 0.000757
5220.00 -0.000516
5260.00 -0.000348
5300.00 -0.001008
5340.00 -0.000508
5380.00 0.000384
5420.00 -0.001001
5460.00 -0.000242
5500.00 0.000421
5540.00 -0.000498
5580.00 -0.000702
5620.00 -0.000260
5660.00 -0.000332
5700.00 0.000866
5740.00 -0.000104
5780.00 -0.000456
5820.00 0.000386
5860.00 0.000099
5900.00 -0.000099
5940.00 -0.000652
5980.00 -0.000323
6020.00 -0.000435
6060.00 0.000618
6100.00 -0.001624
6140.00 -0.000429
6180.00 0.000369
6220.00 0.000115
6260.00 0.000300
6300.00 -0.000742
6340.00 -0.000529
6380.00 -0.000377
6420.00 0.001005
6460.00 0.000922
6500.00 -0.000799
6540.00 -0.000072
6580.00 0.000412
6620.00 -0.000042
6660.00 0.000620
6700.00 0.000082
6740.00 -0.001710
6780.00 -0.000198
6820.00 0.000338
6860.00 0.000371
6900.00 0.001081
6940.00 -0.001271
6980.00 -0.000175
7020.00 0.000313
7060.00 -0.000260
7100.00 -0.000320
7140.00 -0.000998
7180.00 0.000371
7220.00 -0.000501
7260.00 -0.000479
7300.00 0.000104
7340.00 -0.000435
7380.00 0.000944
7420.00 0.000484
7460.00 -0.000648
7500.00 0.000221
7540.00 -0.000946
7580.00 0.001281
7620.00 -0.000368
7660.00 -0.000868
7700.00 0.000142
7740.00 -0.000562
7780.00 -0.000012
7820.00 -0.000508
7860.00 -0.000348
7900.00 -0.000215
7940.00 -0.000419
7980.00 0.000359
8020.00 -0.000133
8060.00 -0.000568
8100.00 -0.001024
8140.00 0.001035
8180.00 0.000461
8220.00 -0.000720
8260.00 0.000004
8300.00 -0.000300
8340.00 0.000319
8380.00 -0.001394
8420.00 -0.000559
8460.00 0.000298
8500.00 0.000149
8540.00 0.000175
8580.00 -0.000767
8620.00 -0.000741
8660.00 0.000617
8700.00 0.000494
8740.00 0.000722
8780.00 0.000238
8820.00 0.000102
8860.00 -0.000136
8900.00 -0.000629
8940.00 -0.000555
8980.00 -0.001038
9020.00 0.001380
9060.00 0.000134
9100.00 -0.000263
9140.00 -0.000611
9180.00 0.000458
9220.00 0.000249
9260.00 0.000647
9300.00 -0.000037
9340.00 0.000221
9380.00 0.000312
9420.00 -0.000422
9460.00 -0.000531
9500.00 -0.000418
9540.00 0.001143
9580.00 -0.000259
9620.00 0.001319
9660.00 0.000728
9700.00 -0.000907
9740.00 0.001393
9780.00 -0.001400
9820.00 0.000244
9860.00 -0.001018
9900.00 0.000056
9940.00 -0.000997
9980.00 -0.000733
10020.00 -0.001534
10060.00 -0.001579
10100.00 0.000794
10140.00 -0.002649
10180.00 0.001166
10220.00 0.000723
10260.00 0.000658
10300.00 0.000643
10340.00 0.002376
10380.00 -0.001433
10420.00 0.000595
10460.00 0.001002
10500.00 -0.001163
10540.00 0.001045
10580.00 -0.001662
10620.00 -0.000736
10660.00 -0.000725
10700.00 -0.000142
10740.00 0.001376
10780.00 -0.000088
10820.00 0.001582
10860.00 -0.001679
10900.00 -0.000650
10940.00 0.001028
10980.00 -0.001725
11020.00 -0.000307
11060.00 0.003871
11100.00 0.000861
11140.00 -0.000540
11180.00 0.002245
11220.00 -0.002778
11260.00 -0.001086
11300.00 0.002369
11340.00 -0.002869
11380.00 0.000405
11420.00 0.001981
11460.00 -0.001551
11500.00 -0.002487
11540.00 -0.004770
11580.00 -0.000512
11620.00 -0.004448
11660.00 -0.000868
11700.00 -0.003370
11740.00 -0.003248
11780.00 0.001864
11820.00 0.001238
11860.00 -0.004169
11900.00 0.003515
11940.00 0.001961
11980.00 -0.003274
12020.00 -0.004727
12060.00 -0.003396
12100.00 0.003114
12140.00 0.002689
12180.00 0.002339
12220.00 0.001578
12260.00 0.002812
12300.00 -0.006469
12340.00 0.000881
12380.00 -0.000401
12420.00 0.002929
12460.00 -0.004074
12500.00 -0.010165
12540.00 0.007017
12580.00 0.012661
12620.00 0.000643
12660.00 -0.008019
12700.00 -0.009577
12740.00 0.000076
12780.00 -0.012083
12820.00 0.003051
12860.00 -0.010495
12900.00 -0.000876
12940.00 0.012737
12980.00 0.014952
13020.00 0.000036
13060.00 0.012468
13100.00 -0.009431
13140.00 -0.005381
13180.00 0.023349
13220.00 -0.009604
13260.00 -0.005335
13300.00 0.009315
13340.00 -0.039625
13380.00 -0.017564
13420.00 -0.025595
13460.00 -0.041419
13500.00 0.014489
13540.00 0.001161
13580.00 -0.021476
13620.00 0.025500
13660.00 -0.061309
13700.00 -0.042089
13740.00 -0.071180
13780.00 -0.013947
13820.00 0.082061
13860.00 0.082061
