distance phi
85.19 0.976622
125.19 0.957799
165.19 0.942921
205.19 0.938163
245.19 0.918593
285.19 0.902645
325.19 0.904696
365.19 0.869550
405.19 0.863385
445.19 0.858206
485.19 0.822956
525.19 0.817753
565.19 0.816621
605.19 0.789647
645.19 0.780641
685.19 0.754964
725.19 0.740267
765.19 0.725380
805.19 0.702070
845.19 0.705729
885.19 0.674288
925.19 0.673592
965.19 0.619087
1005.19 0.634310
1045.19 0.620533
1085.19 0.581822
1125.19 0.559508
1165.19 0.585621
1205.19 0.541537
1245.19 0.480824
1285.19 0.527231
1325.19 0.516989
1365.19 0.452210
1405.19 0.436871
1445.19 0.481703
1485.19 0.438912
1525.19 0.381161
1565.19 0.392481
1605.19 0.370675
1645.19 0.403777
1685.19 0.325472
1725.19 0.333146
1765.19 0.323985
1805.19 0.334364
1845.19 0.252127
1885.19 0.293526
1925.19 0.304420
1965.19 0.266517
2005.19 0.219402
2045.19 0.275346
2085.19 0.195477
2125.19 0.160010
2165.19 0.246002
2205.19 0.167620
2245.19 0.172978
2285.19 0.160313
2325.19 0.162051
2365.19 0.132780
2405.19 0.148675
2445.19 0.112174
2485.19 0.127539
2525.19 0.108711
2565.19 0.090422
2605.19 0.119058
2645.19 0.080662
2685.19 0.101197
2725.19 0.039598
2765.19 0.100775
2805.19 0.095917
2845.19 0.046334
2885.19 0.045679
2925.19 0.093227
2965.19 0.048166
3005.19 0.007637
3045.19 0.080379
3085.19 0.036027
3125.19 0.049169
3165.19 0.022520
3205.19 0.034055
3245.19 0.045254
3285.19 0.045356
3325.19 -0.002349
3365.19 0.038660
3405.19 0.069900
3445.19 -0.023115
3485.19 0.027109
3525.19 0.047182
3565.19 0.030433
3605.19 -0.018689
3645.19 0.049065
3685.19 0.038331
3725.19 0.006176
3765.19 -0.011374
3805.19 0.034171
3845.19 0.000262
3885.19 0.007500
3925.19 0.010552
3965.19 0.011610
4005.19 0.006390
4045.19 -0.016582
4085.19 -0.001494
4125.19 0.001861
4165.19 -0.019607
4205.19 -0.017002
4245.19 -0.000810
4285.19 -0.001983
4325.19 -0.073909
4365.19 -0.022446
4405.19 -0.013042
4445.19 -0.049283
4485.19 -0.078919
4525.19 -0.007957
4565.19 -0.053583
4605.19 -0.073362
4645.19 -0.086871
4685.19 -0.053254
4725.19 -0.065491
4765.19 -0.105862
4805.19 -0.092780
4845.19 -0.048012
4885.19 -0.095050
4925.19 -0.132177
4965.19 -0.091198
5020.00 -0.088353
5060.00 -0.091116
