distance phi
85.19 0.673273
125.19 0.383913
165.19 0.211921
205.19 0.153337
245.19 0.098502
285.19 0.046893
325.19 0.029043
365.19 0.014365
405.19 0.005747
445.19 0.000721
485.19 -0.001223
525.19 -0.001007
565.19 -0.000971
605.19 -0.002104
645.19 -0.003367
685.19 -0.003501
725.19 -0.003788
765.19 -0.003151
805.19 -0.003425
845.19 -0.000701
885.19 -0.000375
925.19 -0.000745
965.19 -0.001070
1005.19 0.000449
1045.19 -0.001704
1085.19 -0.002704
1125.19 -0.003044
1165.19 -0.003646
1205.19 -0.003588
1245.19 -0.003444
1285.19 -0.003467
1325.19 -0.003467
1365.19 -0.002325
1405.19 -0.002004
1445.19 -0.002222
1485.19 -0.001598
1525.19 -0.001837
1565.19 -0.002573
1605.19 -0.002373
1645.19 -0.002897
1685.19 -0.001869
1725.19 -0.001479
1765.19 -0.000473
1805.19 -0.000030
1845.19 0.001305
1885.19 0.000571
1925.19 0.000811
1965.19 -0.000559
2005.19 0.000092
2045.19 -0.001189
2085.19 -0.002203
2125.19 -0.001926
2165.19 -0.002620
2205.19 -0.002727
2245.19 -0.002047
2285.19 -0.001063
2325.19 -0.000066
2365.19 0.000403
2405.19 0.001978
2445.19 0.000424
2485.19 0.002405
2525.19 0.002326
2565.19 -0.001548
2605.19 0.000617
2645.19 0.000499
2685.19 -0.001750
2725.19 0.000142
2765.19 -0.000437
2805.19 0.000081
2845.19 -0.001287
2885.19 -0.000716
2925.19 -0.001232
2965.19 -0.000089
3005.19 -0.000418
3045.19 0.000562
3085.19 0.000757
3125.19 0.002859
3165.19 0.000359
3205.19 0.003302
3245.19 0.004683
3285.19 -0.001946
3325.19 0.003886
3365.19 0.001107
3405.19 -0.001779
3445.19 -0.000715
3485.19 -0.001938
3525.19 -0.002163
3565.19 -0.001120
3605.19 -0.001340
3645.19 0.000136
3685.19 -0.000725
3725.19 -0.000508
3765.19 -0.000089
3805.19 -0.000382
3845.19 -0.000805
3885.19 -0.000624
3925.19 -0.000677
3965.19 -0.000266
4005.19 0.000801
4045.19 -0.000267
4085.19 0.000862
4125.19 0.001377
4165.19 0.002797
4205.19 0.002154
4245.19 0.003851
4285.19 0.004295
4325.19 0.005228
4365.19 0.003976
4405.19 0.005456
4445.19 0.002995
4485.19 0.003033
4525.19 0.001433
4565.19 0.000926
4605.19 -0.000389
4645.19 -0.000959
4685.19 -0.001266
4725.19 -0.001265
4765.19 -0.001480
4805.19 -0.001246
4845.19 -0.001361
4885.19 -0.002018
4925.19 -0.002919
4965.19 -0.003345
5020.00 -0.003316
5060.00 -0.002832
5100.00 -0.002612
5140.00 -0.002096
5180.00 -0.002162
5220.00 -0.001786
5260.00 -0.002161
5300.00 -0.001647
5340.00 -0.001332
5380.00 -0.001429
5420.00 -0.000474
5460.00 0.000118
5500.00 -0.000231
5540.00 -0.000116
5580.00 -0.000018
5620.00 -0.000558
5660.00 -0.001245
5700.00 -0.001077
5740.00 -0.001727
5780.00 -0.001889
5820.00 -0.002591
5860.00 -0.002770
5900.00 -0.003004
5940.00 -0.003290
5980.00 -0.002669
6020.00 -0.002191
6060.00 -0.001646
6100.00 -0.000502
6140.00 0.000624
6180.00 0.000792
6220.00 0.003220
6260.00 0.002836
6300.00 0.001141
6340.00 0.002101
6380.00 0.000474
6420.00 -0.000478
6460.00 -0.001459
6500.00 -0.001393
6540.00 -0.002270
6580.00 -0.000732
6620.00 -0.002148
6660.00 -0.002177
6700.00 -0.002291
6740.00 -0.001678
6780.00 -0.002238
6820.00 -0.002226
6860.00 -0.002561
6900.00 -0.002484
6940.00 -0.002341
6980.00 -0.002303
7020.00 -0.002025
7060.00 -0.001494
7100.00 -0.000088
7140.00 0.001000
7180.00 0.003618
7220.00 0.003897
7260.00 0.004597
7300.00 0.005781
7340.00 0.004227
7380.00 0.003027
7420.00 0.004315
7460.00 0.001898
7500.00 0.000999
7540.00 0.000074
7580.00 -0.000358
7620.00 -0.001803
7660.00 -0.001921
7700.00 -0.002114
7740.00 -0.001866
7780.00 -0.001251
7820.00 -0.000665
7860.00 -0.000161
7900.00 0.001983
7940.00 0.000336
7980.00 0.001620
8020.00 0.002296
8060.00 0.001755
8100.00 0.000782
8140.00 -0.000016
8180.00 0.000065
8220.00 -0.001129
8260.00 -0.001320
8300.00 -0.001400
8340.00 -0.001637
8380.00 -0.001012
8420.00 -0.000974
8460.00 -0.001731
8500.00 -0.001919
8540.00 -0.001007
8580.00 -0.001293
8620.00 -0.001014
8660.00 -0.000086
8700.00 -0.000817
8740.00 0.000750
8780.00 0.002139
8820.00 0.002580
8860.00 0.006681
8900.00 0.007647
8940.00 0.005117
8980.00 0.007439
