distance phi
85.19 -0.005885
125.19 0.000681
165.19 0.001546
205.19 -0.000175
245.19 -0.000833
285.19 -0.000881
325.19 -0.000706
365.19 -0.001539
405.19 -0.000518
445.19 -0.001001
485.19 -0.000244
525.19 0.000141
565.19 -0.000582
605.19 -0.000395
645.19 -0.001079
685.19 0.000937
725.19 -0.001441
765.19 -0.001433
805.19 0.000153
845.19 0.000623
885.19 0.000661
925.19 0.000471
965.19 0.000408
1005.19 -0.000385
1045.19 0.000267
1085.19 0.000525
1125.19 0.001558
1165.19 -0.000530
1205.19 0.000997
1245.19 0.000310
1285.19 -0.000067
1325.19 0.000997
1365.19 0.000416
1405.19 -0.000154
1445.19 0.000576
1485.19 0.000217
1525.19 -0.000413
1565.19 -0.000357
1605.19 0.000868
1645.19 0.000469
1685.19 -0.000275
1725.19 -0.000197
1765.19 0.000228
1805.19 0.001161
1845.19 -0.000586
1885.19 -0.000359
1925.19 0.000599
1965.19 0.001486
2005.19 -0.000280
2045.19 -0.000709
2085.19 0.000077
2125.19 -0.000201
2165.19 0.000922
2205.19 0.000028
2245.19 -0.000519
2285.19 0.000654
2325.19 0.000353
2365.19 -0.000109
2405.19 -0.000233
2445.19 0.000043
2485.19 -0.000092
2525.19 -0.000057
2565.19 0.000754
2605.19 -0.000759
2645.19 0.000383
2685.19 0.000389
2725.19 0.000343
2765.19 -0.000359
2805.19 0.000559
2845.19 0.000266
2885.19 0.000727
2925.19 -0.000409
2965.19 0.000226
3005.19 0.000010
3045.19 0.000283
3085.19 -0.000063
3125.19 0.000361
3165.19 -0.000069
3205.19 -0.000241
3245.19 0.000955
3285.19 0.000276
3325.19 0.000061
3365.19 0.000485
3405.19 -0.001043
3445.19 -0.001605
3485.19 -0.000412
3525.19 0.000686
3565.19 -0.000122
3605.19 0.000408
3645.19 -0.000089
3685.19 -0.000320
3725.19 0.000024
3765.19 0.000274
3805.19 0.000236
3845.19 0.000566
3885.19 0.000042
3925.19 0.000095
3965.19 -0.000617
4005.19 0.000879
4045.19 -0.000662
4085.19 0.000080
4125.19 -0.000200
4165.19 -0.000391
4205.19 -0.000357
4245.19 0.000994
4285.19 0.000423
4325.19 -0.000500
4365.19 -0.000405
4405.19 -0.000225
4445.19 -0.000108
4485.19 -0.000253
4525.19 -0.000781
4565.19 0.000011
4605.19 0.000246
4645.19 0.000548
4685.19 0.000478
4725.19 -0.000236
4765.19 -0.000508
4805.19 0.000160
4845.19 -0.000341
4885.19 0.000274
4925.19 -0.000067
4965.19 -0.000174
5020.00 -0.000147
5060.00 0.000081
5100.00 -0.000511
5140.00 0.000246
5180.00 -0.000374
5220.00 0.000183
