distance phi
182.63 0.000000
222.63 0.000000
262.63 0.000000
302.63 0.000000
342.63 0.000000
382.63 0.000000
422.63 0.000000
462.63 0.000000
502.63 0.000000
542.63 0.000000
582.63 0.000000
622.63 0.000000
662.63 0.000000
702.63 0.000000
742.63 0.000000
782.63 0.000000
822.63 0.000000
862.63 0.000000
902.63 0.000000
942.63 0.000000
982.63 0.000000
1022.63 0.000000
1062.63 0.000000
1102.63 0.000000
1142.63 0.000000
1182.63 0.000000
1222.63 0.000000
1262.63 0.000000
1302.63 0.000000
1342.63 0.000000
1382.63 0.000000
1422.63 0.000000
1462.63 0.000000
1502.63 0.000000
1542.63 0.000000
1582.63 0.000000
1622.63 0.000000
1662.63 0.000000
1702.63 0.000000
1742.63 0.000000
1782.63 0.000000
1822.63 0.000000
1862.63 0.000000
1902.63 0.000000
