distance phi
182.63 0.228417
222.63 -0.028986
262.63 0.000000
302.63 0.000000
342.63 -0.034483
382.63 -0.034783
422.63 0.000000
462.63 -0.035714
502.63 -0.042403
542.63 0.000000
582.63 -0.043956
622.63 0.000000
662.63 -0.053097
702.63 -0.034483
742.63 -0.041096
782.63 0.000000
822.63 -0.037855
862.63 -0.017241
902.63 0.000000
942.63 0.000000
982.63 -0.028986
1022.63 0.000000
1062.63 0.000000
1102.63 0.000000
1142.63 0.000000
1182.63 0.000000
1222.63 0.000000
1262.63 0.000000
1302.63 0.000000
1342.63 0.000000
1382.63 0.000000
1422.63 0.000000
1462.63 0.000000
1502.63 0.000000
1542.63 0.000000
1582.63 0.000000
1622.63 0.000000
1662.63 0.000000
1702.63 0.000000
1742.63 0.000000
1782.63 0.000000
1822.63 0.000000
1862.63 0.000000
1902.63 0.000000
