distance phi
182.63 0.277490
222.63 0.122043
262.63 0.000000
302.63 0.000000
342.63 0.054823
382.63 0.039838
422.63 0.000000
462.63 0.030730
502.63 0.018664
542.63 0.000000
582.63 0.015134
622.63 0.000000
662.63 0.006104
702.63 0.017688
742.63 0.007260
782.63 0.000000
822.63 0.005355
862.63 0.007273
902.63 0.003299
942.63 0.005096
982.63 0.006538
1022.63 0.001132
1062.63 0.000000
1102.63 0.005795
1142.63 -0.000929
1182.63 -0.000753
1222.63 -0.000248
1262.63 -0.019944
1302.63 -0.005786
1342.63 -0.000850
1382.63 -0.019034
1422.63 0.000000
1462.63 -0.003580
1502.63 0.013064
1542.63 -0.018123
1582.63 0.000000
1622.63 -0.003842
1662.63 -0.030264
1702.63 0.000000
1742.63 0.000000
1782.63 -0.019017
1822.63 0.000000
1862.63 0.000000
1902.63 0.000000
