distance phi
182.63 0.001402
222.63 -0.002478
262.63 0.000000
302.63 0.000000
342.63 0.003269
382.63 -0.001592
422.63 0.000000
462.63 0.000662
502.63 0.000434
542.63 0.000000
582.63 -0.000018
622.63 0.000000
662.63 0.001454
702.63 -0.002429
742.63 0.003357
782.63 0.000000
822.63 0.000236
862.63 0.000196
902.63 0.001391
942.63 0.001581
982.63 -0.002016
1022.63 0.001275
1062.63 0.000000
1102.63 -0.001441
1142.63 -0.001624
1182.63 0.000601
1222.63 0.008549
1262.63 -0.000400
1302.63 0.000489
1342.63 0.000456
1382.63 0.002291
1422.63 0.000000
1462.63 -0.004192
1502.63 -0.002112
1542.63 0.001008
1582.63 0.000261
1622.63 0.001978
1662.63 0.009248
1702.63 0.008221
1742.63 0.000000
1782.63 -0.022105
1822.63 0.029238
1862.63 0.000000
1902.63 -0.024107
